date,customerId,monthly_salary,health_score,current_debt,category
2022-09-10,CUS50595231748,3860,3,593.7,BRONZE
2022-09-10,CUS41095949824,7127,155,10404.96,SILVER
2022-09-10,CUS77289220724,13587,208,,BRONZE
2022-09-10,CUS55697703960,1322,211,741.05,SILVER
2022-09-10,CUS91382780948,5275,223,84958.35,SILVER
2022-09-10,CUS36947218124,5292,226,16892.22,BRONZE
2022-09-10,CUS15964882412,1667,230,,BRONZE
2022-09-10,CUS26768799060,6992,234,102834.24,SILVER
2022-09-10,CUS41482828460,4903,236,65009.84,SILVER
2022-09-10,CUS86644713624,15050,236,8557.43,BRONZE
2022-09-10,CUS18553885024,16253,239,178020,SILVER
2022-09-10,CUS99303985336,2031,240,,BRONZE
2022-09-10,CUS42551969148,8656,245,35989.46,SILVER
2022-09-10,CUS55761056324,11176,250,20860.9,BRONZE
2022-09-10,CUS11341685648,12768,259,184044.44,SILVER
2022-09-10,CUS55429722860,3022,260,,SILVER
2022-09-10,CUS43029339648,12512,261,197207.4,SILVER
2022-09-10,CUS96966287260,14300,265,,SILVER
2022-09-10,CUS54383397336,4590,265,90351.18,SILVER
2022-09-10,CUS61363880324,4335,267,54352.59,
2022-09-10,CUS24086580724,16981,269,40007.26,SILVER
2022-09-10,CUS97543566636,3831,270,16248.32,SILVER
2022-09-10,CUS78841250924,13848,271,389970.04,SILVER
2022-09-10,CUS35984920648,23281,276,21352.05,SILVER
2022-09-10,CUS14848261836,5520,276,91350,
2022-09-10,CUS42283414136,2930,277,4318.6,BRONZE
2022-09-10,CUS47646753012,7634,278,242173.84,SILVER
2022-09-10,CUS12145041636,7512,281,101740.62,
2022-09-10,CUS70214860460,4720,282,,SILVER
2022-09-10,CUS85201800724,7657,282,20706.66,SILVER
2022-09-10,CUS32053231236,7657,282,20706.66,SILVER
2022-09-10,CUS80921864824,2464,283,11479.4,BRONZE
2022-09-10,CUS75053082948,8721,284,114876.54,
2022-09-10,CUS53043186360,5955,285,,BRONZE
2022-09-10,CUS74356023848,12396,287,18533.31,BRONZE
2022-09-10,CUS89241188824,5865,287,24153.32,SILVER
2022-09-10,CUS65198797236,6797,288,48716.49,SILVER
2022-09-10,CUS62115425112,6183,289,13798.38,
2022-09-10,CUS13474221124,6270,291,18959.12,
2022-09-10,CUS84921694112,8446,291,2694.82,BRONZE
2022-09-10,CUS71928330836,14109,291,66080.04,SILVER
2022-09-10,CUS39946493560,10981,291,86569.56,SILVER
2022-09-10,CUS33086239236,4995,292,,
2022-09-10,CUS12821949448,3578,293,32856.41,
2022-09-10,CUS17938956248,20100,293,315160.42,SILVER
2022-09-10,CUS93377940736,11296,293,93018.48,SILVER
2022-09-10,CUS53470256148,5685,294,8317.82,SILVER
2022-09-10,CUS11637585060,6075,296,89440,BRONZE
2022-09-10,CUS31654709824,6838,297,5444.32,BRONZE
2022-09-10,CUS62893576448,13537,298,390.74,
2022-09-10,CUS81232864336,5852,299,7240.38,SILVER
2022-09-10,CUS25834913836,6416,300,,
2022-09-10,CUS50942611360,7508,300,74171.36,SILVER
2022-09-10,CUS54692308136,6440,302,36763.84,SILVER
2022-09-10,CUS69525248260,12633,304,230516.16,SILVER
2022-09-10,CUS95712445936,7408,305,1500,SILVER
2022-09-10,CUS52143820360,7755,305,2876.88,SILVER
2022-09-10,CUS60425823660,10262,305,17761.48,SILVER
2022-09-10,CUS64144278224,4211,305,24218.82,
2022-09-10,CUS79593547236,5678,306,55004.86,SILVER
