date,customerId,paymentPeriod,loanAmount,currencyType,evaluationChannel,interest_rate
2022-09-11,CUS18766457760,60,33214,USD,WEB PAGE,0.395
2022-09-11,CUS27709604012,12,3000,USD,WEB PAGE,0.4
2022-09-11,CUS81140191348,48,31646.06,USD,WEB PAGE,0.4
2022-09-11,CUS16619880324,24,80000,USD,WEB PAGE,0.25
2022-09-11,CUS54929228624,24,63900,USD,AGENCY,0.285
2022-09-11,CUS73263584824,24,37000,USD,AGENCY,0.185
2022-09-11,CUS90232550836,36,5826,USD,WEB PAGE,0.219
2022-09-11,CUS60674696848,48,33700,USD,WEB PAGE,0.35
2022-09-11,CUS18981568736,36,20000,USD,AGENCY,0.22
2022-09-11,CUS87951992448,48,8200,USD,WEB PAGE,0.235
2022-09-11,CUS21772458760,60,26800,USD,WEB PAGE,0.395
2022-09-11,CUS25933866924,24,150000,USD,AGENCY,0.35
2022-09-11,CUS63785774624,24,100000,USD,WEB PAGE,0.35
2022-09-11,CUS28240253436,36,60000,USD,WEB PAGE,0.32
2022-09-11,CUS87813449924,24,29400,USD,WEB PAGE,0.39
2022-09-11,CUS60397016524,24,17400,USD,AGENCY,0.27
2022-09-11,CUS87211222824,24,20000,USD,WEB PAGE,0.155
2022-09-11,CUS82611082336,36,23600,USD,WEB PAGE,0.189
2022-09-11,CUS70396793924,24,3000,USD,WEB PAGE,0.22
2022-09-11,CUS52520673536,36,20000,USD,WEB PAGE,0.159
2022-09-11,CUS48590732624,24,7000,USD,WEB PAGE,0.385
2022-09-11,CUS35201697124,24,4000,USD,WEB PAGE,0.35
2022-09-11,CUS57348368160,60,15400,USD,WEB PAGE,0.265
2022-09-11,CUS44549782636,36,22850,USD,WEB PAGE,0.11
2022-09-11,CUS90703135448,48,35750,USD,WEB PAGE,0.199
2022-09-11,CUS52600522436,36,22600,USD,CONTACT CENTER,0.185
2022-09-11,CUS69820375336,36,50000,USD,AGENCY,0.225
2022-09-11,CUS42089591624,24,22500,USD,AGENCY,0.39
2022-09-11,CUS71665312424,24,12610,USD,AGENCY,0.395
2022-09-11,CUS97408236436,36,16000,USD,WEB PAGE,0.395
2022-09-11,CUS44290105336,36,135000,USD,AGENCY,0.179
2022-09-11,CUS31364058436,36,36900,USD,WEB PAGE,0.215
2022-09-11,CUS89293287660,60,40000,USD,WEB PAGE,0.22
2022-09-11,CUS60153433324,24,20073,USD,AGENCY,0.23
2022-09-11,CUS30433461624,24,20000,USD,WEB PAGE,0.1
2022-09-11,CUS68189172036,36,15000,USD,WEB PAGE,0.295
2022-09-11,CUS80428044160,60,11000,USD,WEB PAGE,0.39
2022-09-11,CUS99319096336,36,100000,USD,WEB PAGE,0.26
2022-09-11,CUS59056606012,12,16000,USD,WEB PAGE,0.2
2022-09-11,CUS36788726524,24,20000,USD,WEB PAGE,0.275
2022-09-11,CUS32053717160,60,40000,USD,WEB PAGE,0.37
2022-09-11,CUS32182178024,24,66700,USD,WEB PAGE,0.179
2022-09-11,CUS37444725348,48,100000,USD,AGENCY,0.169
2022-09-11,CUS41465861460,60,110000,USD,AGENCY,0.24
2022-09-11,CUS64621096848,48,17400,USD,WEB PAGE,0.39
2022-09-11,CUS29048841412,12,10000,USD,WEB PAGE,0.375
2022-09-11,CUS96536436148,48,51900,USD,WEB PAGE,0.22
2022-09-11,CUS23744461936,36,17400,USD,WEB PAGE,0.235
2022-09-11,CUS44909403124,24,25000,USD,WEB PAGE,0.285
2022-09-11,CUS71725956948,48,65000,USD,AGENCY,0.385
2022-09-11,CUS66057617636,36,19272.08,USD,WEB PAGE,0.4
2022-09-11,CUS67768682436,36,29600,USD,WEB PAGE,0.165
2022-09-11,CUS78814667436,36,28100,USD,WEB PAGE,0.23
2022-09-11,CUS91930891848,48,20000,USD,AGENCY,0.23
2022-09-11,CUS41153403824,24,1500,USD,WEB PAGE,0.295
2022-09-11,CUS54207128260,60,41000,USD,WEB PAGE,0.35
2022-09-11,CUS31678576060,60,35000,USD,WEB PAGE,0.385
2022-09-11,CUS77460844860,60,42000,USD,WEB PAGE,0.135
2022-09-11,CUS20846457760,60,12800,USD,WEB PAGE,0.205
2022-09-11,CUS95403568224,24,10000,USD,WEB PAGE,0.375
2022-09-11,CUS23147382112,12,17700,USD,AGENCY,0.4
2022-09-11,CUS43174016036,36,17700,USD,WEB PAGE,0.29
2022-09-11,CUS63031607124,24,6310,USD,WEB PAGE,0.169
2022-09-11,CUS26137117460,60,47321,USD,WEB PAGE,0.169
2022-09-11,CUS99198069648,48,36890,USD,WEB PAGE,0.129
2022-09-11,CUS80344765736,36,18400,USD,WEB PAGE,0.165
2022-09-11,CUS35823120424,24,62000,USD,AGENCY,0.29
